"","gene","symbol","name","locus_group","ensembl_id","gene_type","genomic_position_ucsc_link","p53_expression_score_55_to_57","p53_median_log2fc","p53_bound_tss","p53_bound_enhancer","rfx7_target","cell_cycle_expression_score_0_to_9","cell_cycle_gene_category","dream_target","mmb_foxm1_target","rb_e2f_target","d_np63_expression_score_12_to_14","d_np63_target","potential_d_np63_target","uni_prot_kb_id","p53_expression_score_protein_5_to_5","p53_median_log2fc_protein","mouse_ensembl_id","mouse_genomic_position","mouse_gene_name","mouse_p53_expression_score_13_to_15","mouse_p53_target","locus_type","entrez_id"
"163","REV3L","REV3L","REV3 like, DNA directed polymerase zeta catalytic subunit","protein-coding gene","ENSG00000009413","protein_coding","chr6:111299028-111483715","35","0.48","yes","yes","yes","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000019841","chr10:39732118-39875211","Rev3l","-1","no","gene with protein product","5980"
"164","METTL8","METTL8","methyltransferase 8, tRNA N3-cytidine","protein-coding gene","ENSG00000123600","protein_coding","chr2:171317405-171434802","35","0.44","yes","yes","no","2","-","no","no","no","4","no","yes","Q9H825","2","0.69","ENSMUSG00000041975","chr2:70964561-71055583","Mettl8","-2","no","gene with protein product","79828"
"165","CYP4F3","CYP4F3","cytochrome P450 family 4 subfamily F member 3","protein-coding gene","ENSG00000186529","protein_coding","chr19:15640897-15662825","34","2.53","yes","no","no","1","-","no","no","no","-5","no","yes","-","-","-","ENSMUSG00000003484","chr8:71988482-72009626","Cyp4f18","0","no","gene with protein product","4051"
"166","CYSRT1","CYSRT1","cysteine rich tail 1","protein-coding gene","ENSG00000197191","protein_coding","chr9:137224635-137226315","34","1.63","yes","yes","no","1","-","no","no","no","3","no","yes","A8MQ03","2","1.27","ENSMUSG00000036731","chr2:25238818-25242452","Cysrt1","2","no","gene with protein product","375791"
"167","CROT","CROT","carnitine O-octanoyltransferase","protein-coding gene","ENSG00000005469","protein_coding","chr7:87345664-87399794","34","0.93","yes","no","no","2","-","no","no","no","2","no","no","Q9UKG9","2","0.69","ENSMUSG00000003623","chr5:8966033-8997324","Crot","7","no","gene with protein product","54677"
"168","AHNAK2","AHNAK2","AHNAK nucleoprotein 2","protein-coding gene","ENSG00000185567","protein_coding","chr14:104937244-104978374","34","0.88","no","yes","no","2","-","no","no","no","-2","no","no","Q8IVF2","4","0.51","-","-","-","-","-","gene with protein product","113146"
"169","ALDH1A3","ALDH1A3","aldehyde dehydrogenase 1 family member A3","protein-coding gene","ENSG00000184254","protein_coding","chr15:100877714-100916626","34","0.76","yes","no","no","2","-","no","no","no","-2","no","no","P47895","4","1.71","ENSMUSG00000015134","chr7:66390890-66427517","Aldh1a3","3","no","gene with protein product","220"
"170","HSPG2","HSPG2","heparan sulfate proteoglycan 2","protein-coding gene","ENSG00000142798","protein_coding","chr1:21822244-21937310","34","0.6","yes","no","no","1","-","no","no","no","-2","no","no","P98160","2","0.67","ENSMUSG00000028763","chr4:137468769-137570630","Hspg2","4","no","gene with protein product","3339"
"171","BTG1","BTG1","BTG anti-proliferation factor 1","protein-coding gene","ENSG00000133639","protein_coding","chr12:92140278-92145846","34","0.54","no","yes","no","4","G2/M","yes","no","yes","-4","no","yes","-","-","-","ENSMUSG00000036478","chr10:96617006-96622809","Btg1","7","yes","gene with protein product","694"
"172","SNX2","SNX2","sorting nexin 2","protein-coding gene","ENSG00000205302","protein_coding","chr5:122775079-122834543","34","0.42","yes","yes","no","2","-","no","no","no","-3","no","no","O60749","2","0.21","ENSMUSG00000034484","chr18:53176316-53220865","Snx2","0","no","gene with protein product","6643"
"173","RAB1A","RAB1A","RAB1A, member RAS oncogene family","protein-coding gene","ENSG00000138069","protein_coding","chr2:65070696-65130331","34","0.4","yes","no","no","3","G2/M","no","no","no","-1","no","no","P62820","3","0.30","ENSMUSG00000020149","chr11:20201432-20226856","Rab1a","-1","no","gene with protein product","5861"
"174","PERP","PERP","p53 apoptosis effector related to PMP22","protein-coding gene","ENSG00000112378","protein_coding","chr6:138088505-138107419","34","0.39","no","yes","no","3","G2/M","no","no","no","3","no","yes","-","-","-","ENSMUSG00000019851","chr10:18845020-18857073","Perp","14","yes","gene with protein product","64065"
"175","LAMA3","LAMA3","laminin subunit alpha 3","protein-coding gene","ENSG00000053747","protein_coding","chr18:23689453-23956222","33","0.84","yes","yes","no","2","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000024421","chr18:12333819-12583013","Lama3","3","no","gene with protein product","3909"
"176","NLRP1","NLRP1","NLR family pyrin domain containing 1","protein-coding gene","ENSG00000091592","protein_coding","chr17:5499427-5619424","33","0.77","yes","yes","no","1","-","no","no","no","6","no","yes","-","-","-","-","-","-","-","-","gene with protein product","22861"
"177","GPX1","GPX1","glutathione peroxidase 1","protein-coding gene","ENSG00000233276","protein_coding","chr3:49357176-49358358","33","0.63","yes","no","no","1","-","no","no","no","-2","no","no","P07203","4","0.91","ENSMUSG00000063856","chr9:108338903-108340343","Gpx1","1","no","gene with protein product","2876"
"178","SDC4","SDC4","syndecan 4","protein-coding gene","ENSG00000124145","protein_coding","chr20:45325288-45348424","33","0.57","no","yes","no","2","-","no","no","no","-3","no","yes","P31431","3","0.47","ENSMUSG00000017009","chr2:164424247-164443887","Sdc4","2","no","gene with protein product","6385"
"179","PLCD3","PLCD3","phospholipase C delta 3","protein-coding gene","ENSG00000161714","protein_coding","chr17:45108959-45133354","33","0.57","no","yes","no","2","-","no","no","no","1","no","no","Q8N3E9","5","0.57","ENSMUSG00000020937","chr11:103070304-103101658","Plcd3","4","no","gene with protein product","113026"
"180","DUSP11","DUSP11","dual specificity phosphatase 11","protein-coding gene","ENSG00000144048","protein_coding","chr2:73762184-73780157","33","0.42","yes","no","no","2","-","no","no","no","10","yes","yes","O75319","2","0.33","ENSMUSG00000030002","chr6:85942268-85961667","Dusp11","-3","no","gene with protein product","8446"
"181","S100A11","S100A11","S100 calcium binding protein A11","protein-coding gene","ENSG00000163191","protein_coding","chr1:152032506-152047907","33","0.42","no","yes","no","1","-","no","no","no","2","no","no","P31949","5","0.70","ENSMUSG00000027907","chr3:93520488-93526287","S100a11","0","no","gene with protein product","6282"
"182","GM2A","GM2A","ganglioside GM2 activator","protein-coding gene","ENSG00000196743","protein_coding","chr5:151212150-151270440","33","0.39","no","yes","no","1","-","no","no","no","8","yes","yes","P17900","4","0.45","ENSMUSG00000000594","chr11:55098115-55113029","Gm2a","2","no","gene with protein product","2760"
"183","TRIML2","TRIML2","tripartite motif family like 2","protein-coding gene","ENSG00000179046","protein_coding","chr4:188091273-188109603","32","1.34","yes","yes","no","2","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000091490","chr8:43180541-43193881","Triml2","0","no","gene with protein product","205860"
"184","TP53TG1","TP53TG1","TP53 target 1","non-coding RNA","ENSG00000182165","lncRNA","chr7:87322943-87345528","32","1.11","yes","yes","no","2","-","no","no","no","-1","no","no","-","-","-","-","-","-","-","-","RNA, long non-coding","11257"
"185","RHOD","RHOD","ras homolog family member D","protein-coding gene","ENSG00000173156","protein_coding","chr11:67056847-67072017","32","0.91","yes","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000041845","chr19:4425459-4439432","Rhod","13","yes","gene with protein product","29984"
"186","PGAP1","PGAP1","post-GPI attachment to proteins inositol deacylase 1","protein-coding gene","ENSG00000197121","protein_coding","chr2:196833004-196927796","32","0.68","yes","no","no","1","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000073678","chr1:54472994-54557684","Pgap1","-5","no","gene with protein product","80055"
"187","RGL1","RGL1","ral guanine nucleotide dissociation stimulator like 1","protein-coding gene","ENSG00000143344","protein_coding","chr1:183636085-183928532","32","0.64","yes","no","no","1","-","no","no","no","-4","no","no","-","-","-","ENSMUSG00000026482","chr1:152516760-152766351","Rgl1","-1","no","gene with protein product","23179"
"188","MAP3K12","MAP3K12","mitogen-activated protein kinase kinase kinase 12","protein-coding gene","ENSG00000139625","protein_coding","chr12:53479669-53500063","32","0.63","yes","yes","no","1","-","no","no","no","-1","no","no","-","-","-","-","-","-","-","-","gene with protein product","7786"
"189","ABTB2","ABTB2","ankyrin repeat and BTB domain containing 2","protein-coding gene","ENSG00000166016","protein_coding","chr11:34150987-34358010","32","0.6","yes","yes","no","1","-","no","no","no","-4","no","no","-","-","-","ENSMUSG00000032724","chr2:103566310-103718423","Abtb2","1","no","gene with protein product","25841"
"190","SEMA3F","SEMA3F","semaphorin 3F","protein-coding gene","ENSG00000001617","protein_coding","chr3:50155045-50189075","32","0.51","yes","yes","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000034684","chr9:107681500-107710475","Sema3f","3","no","gene with protein product","6405"
"191","PMAIP1","PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1","protein-coding gene","ENSG00000141682","protein_coding","chr18:59899996-59904305","32","0.5","yes","no","no","4","UNCLEAR","yes","no","yes","1","no","no","-","-","-","ENSMUSG00000024521","chr18:66458533-66465565","Pmaip1","14","yes","gene with protein product","5366"
"192","FRMD8","FRMD8","FERM domain containing 8","protein-coding gene","ENSG00000126391","protein_coding","chr11:65386621-65413525","32","0.47","no","yes","no","3","G2/M","no","no","no","0","no","no","Q9BZ67","4","0.53","ENSMUSG00000024816","chr19:5849702-5875274","Frmd8","11","yes","gene with protein product","83786"
"193","NUAK2","NUAK2","NUAK family kinase 2","protein-coding gene","ENSG00000163545","protein_coding","chr1:205302063-205321745","32","0.47","no","yes","no","1","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000009772","chr1:132316126-132333488","Nuak2","5","yes","gene with protein product","81788"
"194","ZSWIM6","ZSWIM6","zinc finger SWIM-type containing 6","protein-coding gene","ENSG00000130449","protein_coding","chr5:61332258-61546172","32","0.41","no","yes","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000032846","chr13:107724617-107890064","Zswim6","0","no","gene with protein product","57688"
"195","CDC42SE1","CDC42SE1","CDC42 small effector 1","protein-coding gene","ENSG00000197622","protein_coding","chr1:151050971-151070325","32","0.32","yes","no","no","1","-","no","no","no","8","yes","yes","Q9NRR8","1","0.15","ENSMUSG00000046722","chr3:95228732-95236409","Cdc42se1","-1","no","gene with protein product","56882"
"196","PRDM1","PRDM1","PR/SET domain 1","protein-coding gene","ENSG00000057657","protein_coding","chr6:105993463-106109939","31","1.49","yes","yes","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000038151","chr10:44437177-44528501","Prdm1","-3","no","gene with protein product","639"
"197","RGS20","RGS20","regulator of G protein signaling 20","protein-coding gene","ENSG00000147509","protein_coding","chr8:53851795-53959303","31","0.83","yes","no","no","1","-","no","no","no","11","yes","yes","-","-","-","ENSMUSG00000002459","chr1:4909576-5070285","Rgs20","1","no","gene with protein product","8601"
"198","IGDCC4","IGDCC4","immunoglobulin superfamily DCC subclass member 4","protein-coding gene","ENSG00000103742","protein_coding","chr15:65381484-65422947","31","0.73","yes","yes","no","1","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000032816","chr9:65101486-65137940","Igdcc4","5","no","gene with protein product","57722"
"199","FMN1","FMN1","formin 1","protein-coding gene","ENSG00000248905","protein_coding","chr15:32765544-33194714","31","0.59","no","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000044042","chr2:113327736-113716767","Fmn1","0","no","gene with protein product","342184"
"200","TTYH3","TTYH3","tweety family member 3","protein-coding gene","ENSG00000136295","protein_coding","chr7:2631986-2664802","31","0.5","yes","yes","no","2","-","no","no","no","-2","no","no","Q9C0H2","4","1.09","ENSMUSG00000036565","chr5:140620578-140649031","Ttyh3","-3","no","gene with protein product","80727"
"201","TANC1","TANC1","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1","protein-coding gene","ENSG00000115183","protein_coding","chr2:158968640-159232659","31","0.47","yes","yes","no","2","-","no","no","no","5","no","yes","Q9C0D5","0","-0.03","ENSMUSG00000035168","chr2:59612042-59846149","Tanc1","-2","no","gene with protein product","85461"
"202","OPTN","OPTN","optineurin","protein-coding gene","ENSG00000123240","protein_coding","chr10:13099449-13138308","31","0.47","no","yes","no","3","G1/S","no","no","no","-3","no","yes","Q96CV9","3","0.55","ENSMUSG00000026672","chr2:5020642-5064051","Optn","-1","no","gene with protein product","10133"
"203","ELL","ELL","elongation factor for RNA polymerase II","protein-coding gene","ENSG00000105656","protein_coding","chr19:18442663-18522116","31","0.43","yes","yes","no","1","-","no","no","no","2","no","no","P55199","2","0.24","ENSMUSG00000070002","chr8:70539457-70592858","Ell","8","yes","gene with protein product","8178"
"204","TRIP6","TRIP6","thyroid hormone receptor interactor 6","protein-coding gene","ENSG00000087077","protein_coding","chr7:100867387-100873454","31","0.42","yes","no","no","1","-","no","no","no","1","no","no","Q15654","3","0.30","ENSMUSG00000023348","chr5:137309654-137314404","Trip6","-3","no","gene with protein product","7205"
"205","ITFG1","ITFG1","integrin alpha FG-GAP repeat containing 1","protein-coding gene","ENSG00000129636","protein_coding","chr16:47154387-47464149","31","0.38","yes","no","no","2","-","no","no","no","-8","no","yes","Q8TB96","1","0.13","ENSMUSG00000031703","chr8:85717578-85840921","Itfg1","-1","no","gene with protein product","81533"
"206","HSDL2","HSDL2","hydroxysteroid dehydrogenase like 2","protein-coding gene","ENSG00000119471","protein_coding","chr9:112380080-112472405","31","0.37","yes","no","no","2","-","no","no","no","1","no","no","Q6YN16","4","0.41","ENSMUSG00000028383","chr4:59581563-59618689","Hsdl2","3","no","gene with protein product","84263"
"207","CD46","CD46","CD46 molecule","protein-coding gene","ENSG00000117335","protein_coding","chr1:207752054-207795513","31","0.35","no","yes","no","1","-","no","no","no","-1","no","no","P15529","1","0.15","ENSMUSG00000016493","chr1:195036826-195092249","Cd46","1","no","gene with protein product","4179"
"208","FRMPD2","FRMPD2","FERM and PDZ domain containing 2","protein-coding gene","ENSG00000170324","protein_coding","chr10:48153088-48274696","30","2.9","yes","no","no","1","-","no","no","no","2","no","no","-","-","-","-","-","-","-","-","gene with protein product","143162"
"209","SERPINB5","SERPINB5","serpin family B member 5","protein-coding gene","ENSG00000206075","protein_coding","chr18:63476958-63505085","30","2.25","yes","yes","no","2","-","no","no","no","0","no","no","P36952","4","2.47","ENSMUSG00000067006","chr1:106861173-106883348","Serpinb5","2","no","gene with protein product","5268"
"210","KRT17","KRT17","keratin 17","protein-coding gene","ENSG00000128422","protein_coding","chr17:41619442-41624842","30","1.8","yes","yes","no","2","-","no","no","no","3","no","yes","-","-","-","ENSMUSG00000035557","chr11:100256217-100261029","Krt17","-1","no","gene with protein product","3872"
"211","NEAT1","NEAT1","nuclear paraspeckle assembly transcript 1","non-coding RNA","ENSG00000245532","lncRNA","chr11:65422774-65445540","30","1.03","yes","yes","no","1","-","no","no","no","-3","no","yes","-","-","-","-","-","-","-","-","RNA, long non-coding","283131"
"212","TYMSOS","TYMSOS","TYMS opposite strand RNA","non-coding RNA","ENSG00000176912","lncRNA","chr18:630886-658340","30","0.92","yes","no","no","2","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","RNA, long non-coding","494514"
"213","TSPAN1","TSPAN1","tetraspanin 1","protein-coding gene","ENSG00000117472","protein_coding","chr1:46175073-46185962","30","0.82","yes","no","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000028699","chr4:116161869-116167601","Tspan1","0","no","gene with protein product","10103"
"214","NTN4","NTN4","netrin 4","protein-coding gene","ENSG00000074527","protein_coding","chr12:95657807-95791189","30","0.52","yes","no","no","4","G1/S","no","no","no","-10","yes","no","-","-","-","ENSMUSG00000020019","chr10:93640681-93747207","Ntn4","5","yes","gene with protein product","59277"
"215","ISG15","ISG15","ISG15 ubiquitin like modifier","protein-coding gene","ENSG00000187608","protein_coding","chr1:1001138-1014540","30","0.49","yes","yes","no","2","-","no","no","no","-3","no","no","P05161","4","0.61","ENSMUSG00000035692","chr4:156199455-156200796","Isg15","1","no","gene with protein product","9636"
"216","AGBL5","AGBL5","AGBL carboxypeptidase 5","protein-coding gene","ENSG00000084693","protein_coding","chr2:27042364-27070622","30","0.38","yes","no","no","1","-","no","no","no","5","no","no","-","-","-","ENSMUSG00000029165","chr5:30888694-30906965","Agbl5","4","no","gene with protein product","60509"
"217","RPS19","RPS19","ribosomal protein S19","protein-coding gene","ENSG00000105372","protein_coding","chr19:41860255-41872925","30","0.36","yes","yes","no","2","-","no","no","no","-2","no","no","P39019","-1","-0.17","ENSMUSG00000040952","chr7:24884371-24889806","Rps19","1","no","gene with protein product","6223"
"218","SOCS4","SOCS4","suppressor of cytokine signaling 4","protein-coding gene","ENSG00000180008","protein_coding","chr14:55027230-55049489","30","0.36","yes","no","no","2","-","no","no","no","4","no","no","-","-","-","ENSMUSG00000048379","chr14:47276931-47296102","Socs4","-2","no","gene with protein product","122809"
"219","HEXA","HEXA","hexosaminidase subunit alpha","protein-coding gene","ENSG00000213614","protein_coding","chr15:72340924-72376420","30","0.36","no","yes","no","1","-","no","no","no","-2","no","no","P06865","3","0.27","-","-","-","-","-","gene with protein product","3073"
"220","CAVIN2","CAVIN2","caveolae associated protein 2","protein-coding gene","ENSG00000168497","protein_coding","chr2:191834310-191847088","29","1.48","yes","yes","no","1","-","no","no","no","0","no","no","O95810","2","0.75","ENSMUSG00000045954","chr1:51289126-51302960","Sdpr","-2","no","gene with protein product","8436"
"221","CEL","CEL","carboxyl ester lipase","protein-coding gene","ENSG00000170835","protein_coding","chr9:133061978-133071863","29","1.17","yes","yes","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000026818","chr2:28555795-28563403","Cel","2","no","gene with protein product","1056"
"222","ERAP2","ERAP2","endoplasmic reticulum aminopeptidase 2","protein-coding gene","ENSG00000164308","protein_coding","chr5:96875986-96919703","29","0.62","no","yes","no","3","G2/M","no","no","no","0","no","no","-","-","-","-","-","-","-","-","gene with protein product","64167"
"223","COL7A1","COL7A1","collagen type VII alpha 1 chain","protein-coding gene","ENSG00000114270","protein_coding","chr3:48564073-48595267","29","0.55","yes","no","no","2","-","no","no","no","6","no","yes","-","-","-","-","-","-","-","-","gene with protein product","1294"
"224","COBLL1","COBLL1","cordon-bleu WH2 repeat protein like 1","protein-coding gene","ENSG00000082438","protein_coding","chr2:164653624-164843679","29","0.5","yes","no","no","1","-","no","no","no","7","no","yes","Q53SF7","3","0.37","ENSMUSG00000034903","chr2:65088339-65239403","Cobll1","4","no","gene with protein product","22837"
"225","BORCS7","BORCS7","BLOC-1 related complex subunit 7","protein-coding gene","ENSG00000166275","protein_coding","chr10:102854259-102864961","29","0.5","yes","yes","no","3","G2/M","no","no","no","-2","no","no","Q96B45","1","0.13","-","-","-","-","-","gene with protein product","119032"
"226","NDRG1","NDRG1","N-myc downstream regulated 1","protein-coding gene","ENSG00000104419","protein_coding","chr8:133237175-133302022","29","0.48","yes","no","no","3","G2/M","no","no","no","3","no","no","Q92597","5","0.76","ENSMUSG00000005125","chr15:66929318-66969640","Ndrg1","-3","no","gene with protein product","10397"
"227","GAS6","GAS6","growth arrest specific 6","protein-coding gene","ENSG00000183087","protein_coding","chr13:113820549-113864076","29","0.43","yes","yes","no","2","-","no","no","no","-4","no","yes","Q14393","0","-0.64","ENSMUSG00000031451","chr8:13465374-13494490","Gas6","5","no","gene with protein product","2621"
"228","P4HTM","P4HTM","prolyl 4-hydroxylase, transmembrane","protein-coding gene","ENSG00000178467","protein_coding","chr3:48989889-49007153","29","0.42","yes","no","no","4","G1/S","no","no","no","-8","yes","no","Q9NXG6","0","0.32","ENSMUSG00000006675","chr9:108578862-108597667","P4htm","0","no","gene with protein product","54681"
"229","SCRIB","SCRIB","scribble planar cell polarity protein","protein-coding gene","ENSG00000180900","protein_coding","chr8:143790920-143815773","29","0.39","yes","yes","no","2","-","no","no","no","3","no","no","Q14160","0","-0.15","ENSMUSG00000022568","chr15:76047158-76069784","Scrib","1","no","gene with protein product","23513"
"230","MFGE8","MFGE8","milk fat globule EGF and factor V/VIII domain containing","protein-coding gene","ENSG00000140545","protein_coding","chr15:88898683-88913381","29","0.36","yes","yes","no","2","-","no","no","no","-7","no","yes","Q08431","1","1.29","ENSMUSG00000030605","chr7:79133768-79149060","Mfge8","7","yes","gene with protein product","4240"
"231","XPR1","XPR1","xenotropic and polytropic retrovirus receptor 1","protein-coding gene","ENSG00000143324","protein_coding","chr1:180632022-180890279","29","0.32","no","yes","no","2","-","no","no","no","3","no","yes","Q9UBH6","0","0.36","ENSMUSG00000026469","chr1:155275701-155417415","Xpr1","-1","no","gene with protein product","9213"
"232","MYO5A","MYO5A","myosin VA","protein-coding gene","ENSG00000197535","protein_coding","chr15:52307283-52529050","29","0.32","no","yes","no","2","-","no","no","no","9","yes","yes","Q9Y4I1","2","0.21","ENSMUSG00000034593","chr9:75071015-75223688","Myo5a","2","no","gene with protein product","4644"
"233","ESYT2","ESYT2","extended synaptotagmin 2","protein-coding gene","ENSG00000117868","protein_coding","chr7:158730995-158830253","29","0.3","no","yes","no","1","-","no","no","no","-4","no","yes","-","-","-","ENSMUSG00000021171","chr12:116281196-116391050","Esyt2","-4","no","gene with protein product","57488"
"234","HAGH","HAGH","hydroxyacylglutathione hydrolase","protein-coding gene","ENSG00000063854","protein_coding","chr16:1795620-1827157","29","0.29","yes","yes","no","3","G1/S","no","no","no","-3","no","yes","Q16775","4","0.33","ENSMUSG00000024158","chr17:24840143-24864450","Hagh","9","yes","gene with protein product","3029"
"235","ZNF423","ZNF423","zinc finger protein 423","protein-coding gene","ENSG00000102935","protein_coding","chr16:49487524-49857919","28","1.79","yes","yes","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000045333","chr8:87661810-87959595","Zfp423","4","no","gene with protein product","23090"
"236","SORCS2","SORCS2","sortilin related VPS10 domain containing receptor 2","protein-coding gene","ENSG00000184985","protein_coding","chr4:7192538-7742836","28","1.68","yes","no","no","2","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000029093","chr5:36017180-36398139","Sorcs2","-3","no","gene with protein product","57537"
"237","CYGB","CYGB","cytoglobin","protein-coding gene","ENSG00000161544","protein_coding","chr17:76527356-76551175","28","1.23","yes","no","no","2","-","no","no","no","3","no","no","-","-","-","ENSMUSG00000020810","chr11:116645595-116654313","Cygb","-2","no","gene with protein product","114757"
"238","PLXNA2","PLXNA2","plexin A2","protein-coding gene","ENSG00000076356","protein_coding","chr1:208022242-208244384","28","0.58","yes","yes","no","1","-","no","no","no","6","no","yes","-","-","-","ENSMUSG00000026640","chr1:194618218-194816869","Plxna2","0","no","gene with protein product","5362"
"239","MT-RNR2","MT-RNR2","mitochondrially encoded 16S rRNA","non-coding RNA","ENSG00000210082","Mt_rRNA","chrM:1671-3229","28","0.49","yes","no","no","3","G2/M","no","no","no","-","-","-","-","-","-","-","-","-","-","-","RNA, ribosomal","4550"
"240","UBTD1","UBTD1","ubiquitin domain containing 1","protein-coding gene","ENSG00000165886","protein_coding","chr10:97498924-97571206","28","0.47","no","yes","no","2","-","no","no","no","-3","no","yes","Q9HAC8","2","0.74","ENSMUSG00000025171","chr19:41981763-42034643","Ubtd1","5","yes","gene with protein product","80019"
"241","KIAA1217","KIAA1217","KIAA1217","protein-coding gene","ENSG00000120549","protein_coding","chr10:23694746-24547848","28","0.46","yes","yes","no","3","G2/M","no","no","no","-4","no","yes","Q5T5P2","3","0.50","ENSMUSG00000036617","chr2:19909780-20810713","Etl4","0","no","gene with protein product","56243"
"242","RBM38","RBM38","RNA binding motif protein 38","protein-coding gene","ENSG00000132819","protein_coding","chr20:57391396-57409333","28","0.46","no","yes","no","2","-","no","no","no","3","no","no","Q9H0Z9","4","0.30","ENSMUSG00000027510","chr2:173020498-173034734","Rbm38","13","yes","gene with protein product","55544"
"243","MVB12B","MVB12B","multivesicular body subunit 12B","protein-coding gene","ENSG00000196814","protein_coding","chr9:126326829-126507041","28","0.44","no","yes","no","2","-","no","no","no","-3","no","no","-","-","-","ENSMUSG00000038740","chr2:33729953-33887946","Mvb12b","5","no","gene with protein product","89853"
"244","SRSF8","SRSF8","serine and arginine rich splicing factor 8","protein-coding gene","ENSG00000263465","protein_coding","chr11:95067197-95071224","28","0.42","yes","no","no","2","-","no","no","no","-1","no","no","Q9BRL6","2","1.06","-","-","-","-","-","gene with protein product","10929"
"245","LMNA","LMNA","lamin A/C","protein-coding gene","ENSG00000160789","protein_coding","chr1:156082573-156140089","28","0.39","yes","yes","no","3","G2/M","no","no","no","5","no","yes","P02545","5","0.59","ENSMUSG00000028063","chr3:88480147-88509956","Lmna","-2","no","gene with protein product","4000"
"246","FCHO2","FCHO2","FCH and mu domain containing endocytic adaptor 2","protein-coding gene","ENSG00000157107","protein_coding","chr5:72956041-73090522","28","0.38","yes","yes","no","1","-","no","no","no","2","no","no","Q0JRZ9","1","0.13","ENSMUSG00000041685","chr13:98723403-98815449","Fcho2","-4","no","gene with protein product","115548"
"247","PLEKHM3","PLEKHM3","pleckstrin homology domain containing M3","protein-coding gene","ENSG00000178385","protein_coding","chr2:207821288-208025527","28","0.38","yes","no","no","1","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000051344","chr1:64785983-64956824","Plekhm3","0","no","gene with protein product","389072"
"248","PPFIBP1","PPFIBP1","PPFIB scaffold protein 1","protein-coding gene","ENSG00000110841","protein_coding","chr12:27523431-27695564","28","0.37","no","yes","no","1","-","no","no","no","8","yes","yes","Q86W92","5","0.42","ENSMUSG00000016487","chr6:146888487-147032025","Ppfibp1","-2","no","gene with protein product","8496"
"249","BCL10","BCL10","BCL10 immune signaling adaptor","protein-coding gene","ENSG00000142867","protein_coding","chr1:85265776-85276632","28","0.36","yes","yes","no","1","-","no","no","no","6","no","yes","O95999","4","0.43","ENSMUSG00000028191","chr3:145922804-145934356","Bcl10","-1","no","gene with protein product","8915"
"250","LIMK2","LIMK2","LIM domain kinase 2","protein-coding gene","ENSG00000182541","protein_coding","chr22:31212239-31280080","28","0.36","no","yes","no","2","-","no","no","no","-2","no","no","P53671","-1","-0.38","ENSMUSG00000020451","chr11:3344256-3409189","Limk2","11","yes","gene with protein product","3985"
"251","ECE1","ECE1","endothelin converting enzyme 1","protein-coding gene","ENSG00000117298","protein_coding","chr1:21217247-21345572","28","0.33","yes","yes","no","1","-","no","no","no","-3","no","no","P42892","-2","-0.26","ENSMUSG00000057530","chr4:137862237-137965229","Ece1","1","no","gene with protein product","1889"
"252","STARD10","STARD10","StAR related lipid transfer domain containing 10","protein-coding gene","ENSG00000214530","protein_coding","chr11:72754729-72793681","28","0.33","yes","yes","no","2","-","no","no","no","0","no","no","Q9Y365","0","-0.06","ENSMUSG00000030688","chr7:101317086-101346626","Stard10","3","no","gene with protein product","10809"
"253","CPT2","CPT2","carnitine palmitoyltransferase 2","protein-coding gene","ENSG00000157184","protein_coding","chr1:53196792-53214197","28","0.32","yes","no","no","1","-","no","no","no","-3","no","yes","P23786","3","0.36","ENSMUSG00000028607","chr4:107903981-107923610","Cpt2","6","no","gene with protein product","1376"
"254","CLP1","CLP1","cleavage factor polyribonucleotide kinase subunit 1","protein-coding gene","ENSG00000172409","protein_coding","chr11:57648992-57661865","28","0.31","yes","yes","no","2","-","no","no","no","2","no","no","Q92989","0","-0.09","ENSMUSG00000027079","chr2:84722104-84727350","Clp1","0","no","gene with protein product","10978"
"255","GABBR2","GABBR2","gamma-aminobutyric acid type B receptor subunit 2","protein-coding gene","ENSG00000136928","protein_coding","chr9:98288109-98708935","27","1","yes","no","no","2","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000039809","chr4:46662305-46991873","Gabbr2","2","no","gene with protein product","9568"
